[0.27040336 0.        ], [2], 0.0, [ 0.22614124 -0.9139972 ], False, False;
[ 0.22614124 -0.9139972 ], [2], 0.0, [ 0.09744755 -1.7385722 ], False, False;
[ 0.09744755 -1.7385722 ], [0], 0.0, [0.01507372 0.04612345], False, False;
[0.01507372 0.04612345], [1], 0.0, [0.02994448 0.2597957 ], False, False;
[0.02994448 0.2597957 ], [1], 0.0, [0.05561709 0.26837157], False, False;
[0.05561709 0.26837157], [2], 0.0, [ 0.00575594 -1.29494445], False, False;
[ 0.00575594 -1.29494445], [0], 0.0, [-0.04466454  0.2571199 ], False, False;
[-0.04466454  0.2571199 ], [0], 0.0, [0.06561278 2.0109499 ], False, False;
[0.06561278 2.0109499 ], [2], 0.0, [0.20696166 0.9028871 ], False, False;
[0.20696166 0.9028871 ], [2], 0.0, [0.25743786 0.13862271], False, False;
[0.25743786 0.13862271], [2], 0.0, [ 0.24070192 -0.4838748 ], False, False;
[ 0.24070192 -0.4838748 ], [2], 0.0, [ 0.1593781  -1.19298433], False, False;
[ 0.1593781  -1.19298433], [0], 0.0, [0.1426511  0.85019019], False, False;
[0.1426511  0.85019019], [2], 0.0, [ 0.15133176 -0.67099308], False, False;
[ 0.15133176 -0.67099308], [1], 0.0, [ 0.11438675 -0.08838461], False, False;
[ 0.11438675 -0.08838461], [1], 0.0, [0.1364075  0.54099451], False, False;
[0.1364075  0.54099451], [2], 0.0, [ 0.13957972 -0.47559016], False, False;
[ 0.13957972 -0.47559016], [1], 0.0, [0.11880602 0.04854338], False, False;
[0.11880602 0.04854338], [2], 0.0, [ 0.05285614 -1.40783112], False, False;
[ 0.05285614 -1.40783112], [0], 0.0, [-0.01143406  0.08568884], False, False;
[-0.01143406  0.08568884], [0], 0.0, [0.074341   1.67776948], False, False;
[0.074341   1.67776948], [2], 0.0, [0.18085486 0.51813098], False, False;
[0.18085486 0.51813098], [2], 0.0, [ 0.18804159 -0.3698903 ], False, False;
[ 0.18804159 -0.3698903 ], [1], 0.0, [ 0.16847839 -0.03236838], False, False;
[ 0.16847839 -0.03236838], [2], 0.0, [ 0.08956746 -1.59589898], False, False;
[ 0.08956746 -1.59589898], [0], 0.0, [ 0.01087922 -0.02125672], False, False;
[ 0.01087922 -0.02125672], [1], 0.0, [0.02138171 0.23731456], False, False;
[0.02138171 0.23731456], [1], 0.0, [0.06817106 0.72499331], False, False;
[0.06817106 0.72499331], [2], 0.0, [ 0.05961503 -0.90130051], False, False;
[ 0.05961503 -0.90130051], [0], 0.0, [0.07713953 1.26118751], False, False;
[0.07713953 1.26118751], [2], 0.0, [ 0.12331856 -0.30889657], False, False;
[ 0.12331856 -0.30889657], [1], 0.0, [0.11013229 0.0377312 ], False, False;
[0.11013229 0.0377312 ], [2], 0.0, [ 0.0278797 -1.7329435], False, False;
[ 0.0278797 -1.7329435], [0], 0.0, [-0.05485788  0.03013842], False, False;
[-0.05485788  0.03013842], [1], 0.0, [-0.06302916 -0.19822174], False, False;
[-0.06302916 -0.19822174], [0], 0.0, [0.01347492 1.77337385], False, False;
[0.01347492 1.77337385], [2], 0.0, [0.13070868 0.64096702], False, False;
[0.13070868 0.64096702], [2], 0.0, [ 0.14941731 -0.25531963], False, False;
[ 0.14941731 -0.25531963], [1], 0.0, [0.16204824 0.5148101 ], False, False;
[0.16204824 0.5148101 ], [2], 0.0, [ 0.14342922 -0.89912535], False, False;
[ 0.14342922 -0.89912535], [0], 0.0, [0.1779541 1.6058184], False, False;
[0.1779541 1.6058184], [2], 0.0, [0.27365074 0.37134761], False, False;
[0.27365074 0.37134761], [2], 0.0, [ 0.27317077 -0.38125722], False, False;
